country,highest_level_of_education_completed,gender,race,totalCompensation,min_years_of_relevant_experience,Latitude,Longitude
USA,College degree,Man,White,103000,11,40.0792,-98.8164
USA,College degree,Woman,White,204000,11,40.0792,-98.8164
USA,Master's degree,Woman,White,80000,11,40.0792,-98.8164
USA,PhD,Woman,White,68805,8,40.0792,-98.8164
USA,Master's degree,Woman,White,128700,8,40.0792,-98.8164
USA,Master's degree,Woman,White,54000,1,40.0792,-98.8164
USA,Master's degree,Woman,White,36280,5,40.0792,-98.8164
USA,Master's degree,Woman,White,165000,11,40.0792,-98.8164
USA,Master's degree,Woman,White,102000,21,40.0792,-98.8164
USA,College Degree,Man,White,161000,8,40.0792,-98.8164
USA,Master's degree,Woman,White,110000,11,40.0792,-98.8164
USA,Master's degree,Woman,White,72100,8,40.0792,-98.8164
USA,Master's degree,Woman,White,78000,11,40.0792,-98.8164
USA,College degree,Woman,White,160000,21,40.0792,-98.8164
USA,College degree,Woman,White,104000,21,40.0792,-98.8164
USA,Master's degree,Woman,White,67800,2,40.0792,-98.8164
USA,PhD,Woman,White,70600,5,40.0792,-98.8164
USA,College degree,Woman,White,72000,11,40.0792,-98.8164
USA,College degree,Woman,White,40000,11,40.0792,-98.8164
USA,Master's degree,Woman,White,95000,8,40.0792,-98.8164
USA,Master's degree,Woman,White,165000,31,40.0792,-98.8164
USA,Master's degree,Woman,White,40317,21,40.0792,-98.8164
USA,College degree,Woman,White,53900,11,40.0792,-98.8164
USA,Master's degree,Woman,White,59400,2,40.0792,-98.8164
USA,College degree,Man,White,54075,1,40.0792,-98.8164
USA,Master's degree,Woman,White,53895,2,40.0792,-98.8164
USA,College Degree,Woman,White,81000,11,40.0792,-98.8164
USA,Master's degree,Woman,White,67080,2,40.0792,-98.8164
USA,Master's degree,Woman,White,72000,8,40.0792,-98.8164
USA,College degree,Woman,Black or African American,84618,2,40.0792,-98.8164
USA,College degree,Woman,White,56000,21,40.0792,-98.8164
USA,College degree,Woman,Another option not listed here or prefer not to answer,74500,11,40.0792,-98.8164
USA,Master's degree,Woman,White,110000,5,40.0792,-98.8164
USA,College degree,Woman,White,157000,11,40.0792,-98.8164
USA,Master's degree,Non-binary,White,38830,5,40.0792,-98.8164
USA,College degree,Woman,White,53000,8,40.0792,-98.8164
USA,Master's degree,Woman,White,137000,5,40.0792,-98.8164
USA,Master's degree,Woman,White,125000,11,40.0792,-98.8164
